date,title,body,url
2018-01-02,DPRK Will Dynamically Advance along Road Chosen by Itself,"The service personnel and people of the DPRK are foreseeing rosier future while looking back upon this year with great pride and honor. 2017 when humankind greeted with great hope and expectation has not passed uneventfully. From the beginning of the year the world fell in the mire of mayhem. The U.S. has been engrossed in aggression and interference in sovereign states under the pretext of ""anti-terrorism"" and ""peace-keeping"". Sovereignties of various countries are violated and many people were drawn into wars and conflicts. Some countries worked hard to keep their security with the help of big powers. However, they failed to check the U.S. infringement on their sovereignties, and conflicts among nations, tribes and sects have still persisted. Some countries opted for submission, abandoning their principles before the U.S. high-handed and arbitrary practices. Even countries styling themselves big powers chose compromise with the U.S. while thinking about only their immediate interests without their own views, though the latter's practice was wrong. Justice was abused in the international arena in line with big powers' interests. Under the grim situation only socialist Korea has dynamically advanced along the road chosen by itself without the slightest deviation and smashed the U.S. arbitrary practices. In 2018 the world will be further shocked by Juche Korea which will successfully build a powerful socialist nation by giving full rein to the great might of self-reliance and self-development. Ri Hak Nam",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0001
2018-01-02,Lunatic Action of Precipitating Self-Destruction,"Soon after the UN fabrication of ""sanctions resolution"" 2397 against the DPRK, Japanese Prime Minister Abe in a news conference said that it is necessary to implement the resolution more strictly so as to force the DPRK to change the policy. Taking advantage of his position as president of the UNSC, Abe in December held UNSC emergency and ministerial meetings, in which he stressed the need for the international community to put maximum pressure on the DPRK, pulling up it over its test-fire of Hwasong-15 and ""human rights"" issue. This is no more than a lunatic action taken only by Japan keen on taking issue with others to draw water to its own mill. Japan is the sworn enemy of the Korean nation as Japan has perpetrated such crimes against it that its wounds will never be healed. Japan is working hard to realize its militarist ambition, hell-bent on international sanctions and pressure on the DPRK over its nukes of justice, not content with offering its whole territory to the U.S. as a logistic base to carry out the war of aggression against the DPRK. This makes blood boil in the hearts of the Koreans at the thought of Japan. The most impudent and vicious Abe forces should no longer be pardoned and the island of Japan be brought to the bottom of the sea. This is the Korean people's bad blood towards Japan. The Japanese authorities should behave themselves, well aware that the heightened resolution of the Korean people to retaliate Japan with the treasured nuclear sword will put it at greater peril. Ri Hyon Do",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0002
2018-01-02,Celebration Performance of Workers,"The Workers' Art Group of the Central Committee of the General Federation of Trade Unions of Korea (GFTUK) gave a performance at the Central Hall of Workers on Dec. 29 to celebrate the sixth anniversary of respected Supreme Leader Kim Jong Un's assumption of the supreme commandership of the Korean People's Army. Among the audience were Ju Yong Gil, chairman of the GFTUK Central Committee, trade union officials and members and workers. The performance began with chorus ""Glory to General Kim Jong Un"". Extending glory and congratulations to the Supreme Leader, the performers sang of the happiness and joy of the Korean army and people blessed with the illustrious leaders generation after generation. They also represented numbers making the audience recall the devoted efforts of the peerlessly illustrious commander who increased the might of the KPA in every way and ushered in a new heyday of bolstering the military capability. And they showed the stamina of the heroic Kim Il Sung-Kim Jong Il working class working fresh miracles and innovations in the building of a powerful and prosperous country. Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0003
2018-01-02,"Statues of Kim Il Sung, Kim Jong Il Erected at Korean Revolution Museum","Colored statues of President Kim Il Sung and leader Kim Jong Il were erected at the general review room of the Korean Revolution Museum. A ceremony of laying floral baskets at the statues took place on Dec. 31. Present at the ceremony were officials of the Central Committee of the Workers' Party of Korea, the Cabinet, working people's organizations, ministries, national institutions and organs and industrial establishments in Pyongyang and employees of the museum. A basket of flowers in the name of Kim Jong Un, Supreme Leader of the Party, the State and the army, was placed at the colored statues of Kim Il Sung and Kim Jong Il. Also laid were floral baskets in the joint name of the Central Committee and the Central Military Commission of the WPK and the State Affairs Commission of the DPRK and in the joint name of the Presidium of the Supreme People's Assembly and the Cabinet of the DPRK. The participants made a deep bow to the statues of the great leaders. They went round several rooms of the museum. Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0004
2018-01-02,"Floral Baskets to Statues of Kim Il Sung, Kim Jong Il","Ya. T. Nobichenko, an internationalist soldier, and Jong Il Sim, widow of DPRK Hero An Tong Su, sent floral baskets to the statues of President Kim Il Sung and leader Kim Jong Il on Mansu Hill on the occasion of the New Year Juche 107 (2018). The baskets were placed before the statues on Dec. 31. Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0005
2018-01-02,Letter to Kim Jong Un from Central Committee of AINDF,"Respected Supreme Leader Kim Jong Un received a congratulatory letter from the Central Committee of the Anti-Imperialist National Democratic Front (AINDF) on January 1 on the occasion of the New Year Juche 107(2018). Last year 2017 was a year of epochal changes, a year of great victory in which the dignity of the DPRK and its tremendous might and powerful spirit were displayed at the highest level and the strategic position of Juche Korea was put on the ranks of powers to steer the international political trend under the outstanding leadership of respected Marshal Kim Jong Un, the letter said, and went on: The spectacular scenes presented on the homeland of Juche aroused strong yearnings among the south Koreans for the genuine society where the popular masses' dream and ideals come true under the leadership of the father of the nation. Last year every ferocious ""sanctions resolution"" against the DPRK cooked up by the U.S. and its vassal forces and their war moves for aggression on it were foiled, and the conservative group of traitors keen on sycophancy toward the U.S. and confrontation with the fellow countrymen were brought to the grave of history. This strikingly manifested the validity of the DPRK's idea and line on independent reunification and their justice and vitality. Your long journey of patriotic devotion and noble exploits by which you glorified 2017 as a year of great victory to be specially recorded in the history of confrontation with the U.S., in building a socialist power and in accomplishing the cause of national reunification through your outstanding ideology, iron faith and rare leadership would shine generation after generation. The letter vowed to flare up higher the candlelight of justice to bury the anti-reunification traitorous forces making last-ditch efforts after being sternly judged by history and forsaken by the people, and to bring about new politics, new social system and new society desired by the people to south Korea. Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0006
2018-01-02,Congratulatory Letter to Kim Jong Un from Chongryon Central Standing Committee,"Respected Supreme Leader Kim Jong Un received a congratulatory letter from the Central Standing Committee of the General Association of Korean Residents in Japan (Chongryon) on January 1 on the occasion of the New Year Juche 107 (2018). Respected Supreme Leader Marshal Kim Jong Un is the best man ushering in the bright future of the country and people as he sees to it that epochal progress has been made in implementing the decisions of the 7th Congress of the Workers' Party of Korea through an all-out general charge for hitting the goals of the five-year strategy for national economic development, despite the frantic nuclear war racket of the U.S. imperialists and their vassal forces and the harshest sanctions manipulated by them, the letter said, and went on: Last year, you bestowed all possible loving care and solicitude on Chongryon and Koreans in Japan, leading us step by step. We will fully discharge our mission and patriotic duty before the country and the nation by making tangible contributions to the prosperity of the socialist homeland and the national reunification as required by the stirring present situation in which the final victory in the revolutionary cause of Juche is accelerated through dynamic building of a powerful socialist nation while settling accounts with the U.S. in confrontation, under your outstanding guidance. The letter vowed to adorn Juche 107 (2018) as a year of victory of strengthening the movement of Koreans in Japan onto a higher stage despite the grim situation in which Japan, a puppet of the U.S., gets hell-bent on the hostile policy and sanctions and pressure moves against the DPRK while intensifying the persistent suppression of Chongryon and Koreans in Japan, and thus present a report of delight to respected Supreme Leader Kim Jong Un. Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0007
2018-01-02,Kim Jong Un Greets Chongryon Chairman on New Year,"Kim Jong Un, chairman of the State Affairs Commission of the Democratic People's Republic of Korea, sent a message of greeting to Ho Jong Man, chairman of the Central Standing Committee of the General Association of Korean Residents in Japan (Chongryon), on the occasion of the New Year Juche 107(2018). He in the message extended warm congratulations and compatriotic greetings to all the officials of Chongryon including the chairman and other compatriots in Japan at a time when 2017 recorded with great events to be specially recorded in the history of the country is sent off and hopeful New Year 2018 is greeted in. Last year Chongryon recorded the whole year with patriotic days and months in ardent reverence for President Kim Il Sung and leader Kim Jong Il despite the vicious suppression by the Japanese reactionaries, and made great progress in the drive for opening up a new heyday in the movement of Koreans in Japan, the message said. Kim Jong Un highly appreciated the noble loyalty and patriotic devotion made by Chongryon officials and all the Koreans in Japan who have invariably and vigorously fought for the victory of the Juche cause, the patriotic cause of Chongryon, braving manifold difficulties and trials in the alien land. New Year 2018 is a significant year marking the 70th birthday of the DPRK and will be a year of a grand advance in which a decisive breakthrough is to be made in the drive for developing the movement of Koreans in Japan onto a higher stage with the 24th Plenary Meeting of Chongryon as an occasion, the message said, adding: I express firm belief that Chongryon and all Koreans in Japan would strikingly demonstrate once again the true nature of Chongryon, a dignified overseas Koreans' organization of the DPRK, and build a new landmark in the sacred course for the strengthening and development of the movement of Koreans in Japan this significant year. He said that he would cherish Chongryon, associated with the noble patriotism and compatriotism of the peerlessly great persons of Mt Paektu, as a valuable treasure of Juche Korea, and do his best for its strengthening and happy life of Koreans in Japan. He wished Chairman Ho Jong Man and all other Chongryon officials and compatriots in Japan good health, and hoped that the families of all compatriots in Japan would be filled with greater happiness and laughter in the hopeful New Year. Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0008
2018-01-02,Floral Basket to Kim Jong Un from Bereaved Family of DPRK Hero,"Respected Supreme Leader Kim Jong Un received a floral basket from Jong Il Sim, widow of DPRK Hero An Tong Su, on Dec. 31 on the occasion of the New Year Juche 107 (2018). Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-02-0009
2018-01-04,Japan Comes under Fire for Its Past Aggression Crimes,"Members of young people's organization in south Korea staged a demo in Seoul on Dec. 27, 2017 to protest against the crimes of the Japanese imperialists against the Korean nation during their occupation of Korea. The demonstrators condemned the Japanese authorities for failing to apologize for the past aggression crimes, carrying signboards bearing letters such as ""Japan has not apologized"". Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-04-0001
2018-01-04,"Repeal of ""Agreement"" on Sexual Slavery with Japan Urged in S. Korea","The ""Peace Butterfly Taejon Action"" of south Korea on Dec. 29, 2017 told a news conference before the statue of girl sexual slave in Taejon where it demanded the puppet authorities immediately repeal the humiliating ""agreement"" on the sexual slavery with Japan, according to media report. The body disclosed that the ""agreement"" was made in secret between south Korea and Japan. The speakers asserted that the ""government"" should put a blanket end to the treacherous ""agreement"". Then a press release was read out. It said the ""government"" should urge the Japanese government to stop all acts of distorting and denying its history of sexual slavery. Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-04-0002
2018-01-04,S. Korean Chief Executive Blasted for Excluding All Prisoners of Conscience from Those to Be Set Free,"The south Korean online paper Voice of People said that the committee for pushing ahead with the struggle to make prisoners of conscience released held an emergency news conference before Chongwadae on Dec. 29, 2017 to denounce the south Korean chief executive for excluding all the prisoners of conscience from the list of those to which the pardon is granted. Speakers said that he turned down the public demand for the rights to labor and existence by not allowing prisoners of conscience to be released. Rodong News Team",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-04-0003
